Match_addr,X,Y,School_Nam,ESD,SD,County,School_Typ,School_T_1,ODE_Instit,Address,City_1,State,Site_Zipco,Site_Zip_1,Mail_Addre,Mail_City,Mail_State,Mail_Zipco,Mail_Zip_1,Phone_1,Phone_Fax,Email,Website,Participation2017,Participation2018,2017 Provider,Provider2018,2017 Grade,Grade 2018,2017 Students,Sudents 2018,2017 Days,Days 2018,Nights 2017,Nights 2018,2017 Actual Funds Per Student,2018 Actual Funds Per Student,2017 Total Funds,2018 Total Funds,Senate Districts,House Districts
"1151 SE Miller Ave, Dallas, Oregon, 97338",-123.298299,44.91724302,Whitworth Elementary School,Willamette,Dallas SD 2,Polk,Elementary,Regular School,993,1151 SE Miller Ave,Dallas,OR,97338,2798,1151 SE Miller Ave,Dallas,OR,97338,2798,503-623-8351,503-623-6089,steve.martinelli@DSD2.org,http://www.dallas.k12.or.us/Whitworth/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 12,State House District 23
"1100 NE Oaken Hills Dr, Willamina, Oregon, 97396",-123.4772199,45.08531254,Willamina Elementary School,Willamette,Willamina SD 30J,Yamhill,Elementary,Supplemental Virtual,1224,1100 Oaken Hills Dr,Willamina,OR,97396,2724,1100 Oaken Hills Dr,Willamina,OR,97396,2724,503-876-2374,503-876-4321,carrie.zimbrick@willamina.k12.or.us,http://www.willamina.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 12,State House District 23
"1100 NE Oaken Hills Dr, Willamina, Oregon, 97396",-123.4772199,45.08531254,Willamina Middle School,Willamette,Willamina SD 30J,Yamhill,Middle,Focus Virtual,1225,1100 Oaken Hills Dr,Willamina,OR,97396,2724,1100 Oaken Hills Dr,Willamina,OR,97396,2724,503-876-2545,503-876-2511,tim.france@willamina.k12.or.us,http://www.willamina.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 12,State House District 23
"158 Spring Creek Dr, Eugene, Oregon, 97404",-123.137993,44.12424247,Awbrey Park Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,504,158 Spring Creek Dr,Eugene,OR,97404,1299,158 Spring Creek Dr,Eugene,OR,97404,1299,541-790-4050,541-790-4055,riplinger_m@4j.lane.edu,http://awbreypark.4j.lane.edu/,0,Yes, ,Whole Earth, ,5th,0,78,0,3,0,2,0,170.04,0,13263.12,State Senate District 7,State House District 13
"1500 Queens Way, Eugene, Oregon, 97401",-123.0768425,44.07856286,Buena Vista Spanish Immersion Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,1241,1500 Queens Way,Eugene,OR,97401,0,1500 Queens Way,Eugene,OR,97401,0,541-790-6500,541-790-6505,cuadros_j@4j.lane.edu,http://www.buenavista.4j.lane.edu/,0,Yes, ,OMSi, ,5th,0,62,0,3,0,0,0,179.41,0,11123.42,State Senate District 7,State House District 13
"2555 Gilham Rd, Eugene, Oregon, 97408",-123.07939,44.09038298,Cal Young Middle School,Lane,Eugene SD 4J,Lane,Middle,Supplemental Virtual,506,2555 Gilham Rd,Eugene,OR,97401,1698,2555 Gilham Rd,Eugene,OR,97401,1698,541-790-6400,541-790-6456,watry_k@4j.lane.edu,http://www.calyoung.4j.lane.edu/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 7,State House District 13
"250 Silver Ln, Eugene, Oregon, 97404",-123.136222,44.09558223,Corridor Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,1242,250 Silver Ln,Eugene,OR,97404,0,250 Silver Ln,Eugene,OR,97404,0,541-790-4600,<Null>,piowaty_t@4j.lane.edu,http://www.corridor.4j.lane.edu/,1,Yes,Camp Lutherwood,Whole Earth,5th,5th,45,36,3,3,2,2,136.98,195.25,6164.1,7029,State Senate District 7,State House District 13
"3307 Honeywood St, Eugene, Oregon, 97408",-123.07699,44.1004644,Gilham Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,513,3307 Honeywood St,Eugene,OR,97401,1699,3307 Honeywood St,Eugene,OR,97401,1699,541-790-6200,541-790-6205,wilde_g@4j.lane.edu,http://schools.4j.lane.edu/gilham/Welcome.html,0,Yes, ,Whole Earth, ,5th,0,107,0,3,0,2,0,242.9,0,25990.3,State Senate District 7,State House District 13
"770 Calvin St, Eugene, Oregon, 97401",-123.0541516,44.07116831,Holt Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,4157,770 Calvin St,Eugene,OR,97401,5399,770 Calvin St,Eugene,OR,97401,5399,541-790-6100,541-790-6141,johnson_jo@4j.lane.edu,http://www.holt.4j.lane.edu,0,Yes, , , ,5th,0,104,0,3,0,0,0,178.05,0,18517.2,State Senate District 7,State House District 13
"875 Wilkes Dr, Eugene, Oregon, 97404",-123.120326,44.11542844,Madison Middle School,Lane,Eugene SD 4J,Lane,Middle,Supplemental Virtual,520,875 Wilkes Dr,Eugene,OR,97404,1499,875 Wilkes Dr,Eugene,OR,97404,1499,541-790-4300,541-790-4320,marsh@4j.lane.edu,http://www.madison.4j.lane.edu/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 7,State House District 13
"2800 Bailey Ln, Eugene, Oregon, 97401",-123.066259,44.07606153,Monroe Middle School,Lane,Eugene SD 4J,Lane,Middle,Supplemental Virtual,524,2800 Bailey Ln,Eugene,OR,97401,5296,2800 Bailey Ln,Eugene,OR,97401,5296,541-790-6300,541-790-6305,johnson_mi@4j.lane.edu,http://www.monroe.4j.lane.edu/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 7,State House District 13
"120 W Hilliard Ln, Eugene, Oregon, 97404",-123.1234898,44.07893246,River Road/El Camino del R�o Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,525,120 W Hilliard Ln,Eugene,OR,97404,3099,120 W Hilliard Ln,Eugene,OR,97404,3099,541-790-7200,541-790-7205,lavin@4j.lane.edu,http://riverroad.4j.lane.edu,0,Yes, , , ,5th,0,32,0,3,0,0,0,184.66,0,5909.12,State Senate District 7,State House District 13
"1125 Willagillespie Rd, Eugene, Oregon, 97401",-123.099636,44.07078701,Willagillespie Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,534,1125 Willagillespie Rd,Eugene,OR,97401,2198,1125 Willagillespie Rd,Eugene,OR,97401,2198,541-790-7100,541-790-7105,jacobson_d@4j.lane.edu,http://www.willagillespie.4j.lane.edu/Site/HOME.html,0,Yes, ,OMSI, ,5th,0,88,0,3,0,2,0,279.92,0,24632.96,State Senate District 7,State House District 13
"250 Silver Ln, Eugene, Oregon, 97404",-123.136222,44.09558223,Yujin Gakuen Japanese Immersion Elementary School,Lane,Eugene SD 4J,Lane,Elementary,Regular School,1259,250 Silver Ln,Eugene,OR,97404,0,250 Silver Ln,Eugene,OR,97404,0,541-790-4606,541-790-4610,piowaty_t@4j.lane.edu,http://www.yg.4j.lane.edu/site/Welcome.html,0,Yes, ,OMSI, ,5th,0,57,0,4,0,3,0,358.03,0,20407.71,State Senate District 7,State House District 13
"18286 Twenty Mile Rd, Adel, Oregon, 97620",-119.8982662,42.16813946,Adel Elementary School,Lake,Adel SD 21,Lake,Elementary,Regular School,498,18286 Twenty Mile Rd,Adel,OR,97620,0,PO Box 117,Adel,OR,97620,117,541-947-3371,<Null>,bnash@lakeesd.k12.or.us,http://www.lakeesd.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"207 Owyhee St, Nyssa, Oregon, 97913",-117.0704491,43.74156934,Adrian Elementary School,Mulheur,Adrian SD 61,Malheur,Elementary,Regular School,707,207 Owyhee St.,Adrian,OR,97901,0,PO Box 108,Adrian,OR,97901,108,541-372-2337,541-372-5380,william.ellsworth@adrian.k12.or.us,http://www.adrian.k12.or.us,1,Yes,"McCall, Idaho",Lake Creek Campground,6th,6th,24,26,5,4,4,3,235.46,206.12,5651.04,5359.12,State Senate District 30,State House District 60
"1297 W Idaho Ave, Ontario, Oregon, 97914",-116.9831,44.02852747,Aiken Elementary School,Mulheur,Ontario SD 8C,Malheur,Elementary,Regular School,694,1297 W Idaho Ave,Ontario,OR,97914,4534,1297 W Idaho Ave,Ontario,OR,97914,4534,541-889-5584,541-889-4762,abuchholz@ontario.k12.or.us,http://www.ontario.k12.or.us/index.php?id=15,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"1252 Alameda Dr, Ontario, Oregon, 97914",-116.9830518,44.01755044,Alameda Elementary School,Mulheur,Ontario SD 8C,Malheur,Elementary,Regular School,692,1252 Alameda Dr,Ontario,OR,97914,3243,1252 Alameda Dr,Ontario,OR,97914,3243,541-889-5497,541-889-1993,jdayton@ontario.k12.or.us,http://www.ontario.k12.or.us,0,Yes, ,Twin Rocks, ,6th,0,65,0,4,0,3,0,648.54,0,42155.1,State Senate District 30,State House District 60
"402 Annex Rd, Ontario, Oregon, 97914",-116.9870898,44.2361975,Annex Charter School,Mulheur,Annex SD 29,Malheur,Elementary,Supplemental Virtual,705,402 Annex Rd,Ontario,OR,97914,8010,402 Annex Rd,Ontario,OR,97914,8010,541-262-3280,541-262-3578,Steve.Bishop@Annex.k12.or.us,http://www.annex.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"2320 Washington Ave, Baker City, Oregon, 97814",-117.8356303,44.77711746,Baker Charter Schools,InterMountain,Baker SD 5J,Baker,Middle,Supplemental Virtual,1,2320 Washington Ave,Baker City,OR,97814,1599,2320 Washington Ave,Baker City,OR,97814,0,541-524-2500,541-524-2563,ccarmiencke@baker.k12.or.us,http://www.baker.k12.or.us,0,Yes, , , ,6th,0,6,0,4,0,3,0,188.6,0,1131.6,State Senate District 30,State House District 60
"2725 7th St, Baker City, Oregon, 97814",-117.8378587,44.78438964,Baker Web Academy,InterMountain,Baker SD 5J,Baker,Combined,Focus Virtual,4728,2725 7th St,Baker City,OR,97814,0,2090 Fourth St,Baker City,OR,97814,0,503-867-3000,541-524-2339,rhobson@bakercharters.org,http://www.bakercharters.org,1,No,"Bend, Oregon", ,5th and 6th, ,37,0,5,0,4,0,372,0,13764,0,State Senate District 30,State House District 60
"1350 Washington Ave, Baker City, Oregon, 97814",-117.8212998,44.77707752,Brooklyn Primary School,InterMountain,Baker SD 5J,Baker,Elementary,Regular School,2,1350 Washington St,Baker City,OR,97814,2933,1350 Washington St,Baker City,OR,97814,2933,541-524-2450,541-524-2477,goneal@baker.k12.or.us,http://www.baker.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"201 S 1st Ave, Unity, Oregon, 97884",-118.1929364,44.43849286,Burnt River School,InterMountain,Burnt River SD 30J,Baker,Combined,Supplemental Virtual,3347,201 S 1st Ave,Unity,OR,97884,0,PO Box 9,Unity,OR,97884,8,541-446-3336,541-446-3581,landrews@burntriver.k12.or.us,http://www.burntriver.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"531 Highway 20 26, Ontario, Oregon, 97914",-117.0113971,43.98858554,Cairo Elementary School,Mulheur,Ontario SD 8C,Malheur,Elementary,Regular School,693,531 Hwy 20/26,Ontario,OR,97914,8805,531 Hwy 20/26,Ontario,OR,97914,8805,541-889-5745,541-889-5745,Framirez@ontario.k12.or.us,http://www.ontario.k12.or.us/index.php?id=13,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"43277 Crane Venator Ln, Crane, Oregon, 97732",-118.5767447,43.41480753,Crane Elementary School,Harney,Harney County SD 4,Harney,Elementary,Regular School,346,43277 Crane-Venator Ln,Crane,OR,97732,0,PO Box 828,Crane,OR,97732,828,541-493-2641,541-493-2331,hawleym@harneyesd.k12.or.us,http://www.harneyuh.k12.or.us/index.php/rural-feeder-districts/crane-elementary,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"43277 Crane Venator Ln, Crane, Oregon, 97732",-118.5767447,43.41480753,Crane Union High School,Harney,Harney County Union High SD 1J,Harney,High School,Regular School,358,43277 Crane-Venator Ln,Crane,OR,97732,0,PO Box 828,Crane,OR,97732,828,541-493-2641,541-493-2051,hawleym@harneyesd.k12.or.us,http://cranehighschool.org,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"285 Schoolhouse Dr, Dayville, Oregon, 97825",-119.5378452,44.46694409,Dayville School,Grant,Dayville SD 16J,Grant,Combined,Supplemental Virtual,3353,285 School House Rd,Dayville,OR,97825,0,PO Box C,Dayville,OR,97825,8,541-987-2412,541-987-2155,hedrickk@grantesd.k12.or.us,http://www.grantesd.k12.or.us/Dayville,0,Yes, ,OMSI, ,5th,0,5,0,3,0,2,0,245,0,1225,State Senate District 30,State House District 60
"40524 S Diamond Ln, Diamond, Oregon, 97722",-118.6793896,43.0085436,Diamond Elementary School,Harney,Diamond SD 7,Harney,Elementary,Regular School,348,40524 S Diamond Ln,Diamond,OR,97722,9504,40524 S Diamond Ln,Diamond,OR,97722,9504,541-493-2464,541-493-2858,neumannr@harneyesd.k12.or.us,http://www.harneyesd.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"60077 Double O Ranch Rd, Hines, Oregon, 97738",-119.279485,43.33601248,Double O Elementary School,Harney,Double O SD 28,Harney,Elementary,Regular School,352,60077 Double O Rd,Hines,OR,97738,0,PO Box 888,Hines,OR,97738,888,541-493-2400,<Null>,neuschwk@harneyesd.k12.or.us,<Null>,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"78834 Drewsey Rd, Drewsey, Oregon, 97904",-118.377747,43.8054836,Drewsey Elementary School,Harney,Drewsey SD 13,Harney,Elementary,Regular School,350,78834 Drewsey Rd,Drewsey,OR,97904,109,PO Box 109,Drewsey,OR,97904,109,541-493-2367,541-493-2401,gonzals1@harneyesd.k12.or.us,http://www.harneyuh.k12.or.us/index.php/rural-feeder-districts/drewsey-elementary,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"23657 Fields Denio Rd, Fields, Oregon, 97710",-118.6737033,42.26272552,Fields Elementary School,Harney,South Harney SD 33,Harney,Elementary,Regular School,357,23657 Fields-Denio Rd,Fields,OR,97710,8000,23657 Fields-Denio Rd,Fields,OR,97710,8000,541-495-2233,<Null>,mosers@harneyesd.k12.or.us,<Null>,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"2449 SW 4th Ave, Ontario, Oregon, 97914",-116.9987895,44.0248375,Four Rivers Community School,Mulheur,Oregon Department of Education,Malheur,Combined,Charter,4040,2449 SW 4th Ave,Ontario,OR,97914,0,2449 SW 4th Ave,Ontario,OR,97914,0,541-889-3715,<Null>,chelle@4riverscs.org,http://www.4riverscs.org,1,Yes,"MOSS, McCall, ID",McCall Outdoor Scince School,6th,6th,20,30,5,4,4,3,413.82,292.85,8276.4,8785.5,State Senate District 30,State House District 60
"39235 OR-205, Frenchglen, Oregon, 97736",-118.9143766,42.82635374,Frenchglen Elementary School,Harney,Frenchglen SD 16,Harney,Elementary,Regular School,351,39235 Hwy 205,Frenchglen,OR,97736,9704,39235 Hwy 205,Frenchglen,OR,97736,9704,541-493-2404,541-493-4660,koskelac@harneyesd.k12.or.us,<Null>,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"97814, Baker City, Oregon",-117.83436,44.77948,Haines Elementary School,InterMountain,Baker SD 5J,Baker,Elementary,Regular School,4,400 School St,Baker City,OR,97814,0,2090 Fourth St,Baker City,OR,97814,3391,541-524-2400,541-524-2427,mvaughan@baker.k12.or.us,http://www.baker.k12.or.us,0,Yes, , , ,6th,0,20,0,4,0,3,0,188.6,0,3772,State Senate District 30,State House District 60
"2987 Harper-Westfall Rd, Harper, Oregon, 97906",-117.6070981,43.86534937,Harper Charter School,Mulheur,Harper SD 66,Malheur,Combined,Charter,3362,2987 Harper/Westfall Rd,Harper,OR,97906,0,2987 Harper/Westfall Rd,Harper,OR,97906,800,541-358-2473,541-358-2488,rtalbot@harper.k12.or.us,http://www.harper.k12.or.us/,1,Yes,Trip Across Oregon, ,5th and 6th,5th,6,7,5,4,4,3,304.37,216.11,1826.22,1512.77,State Senate District 30,State House District 60
"800 N Fairview Ave, Burns, Oregon, 97720",-119.0605579,43.59255199,Henry L Slater Elementary School,Harney,Harney County SD 3,Harney,Elementary,Regular School,342,800 N Fairview Ave,Burns,OR,97720,1199,800 N Fairview Ave,Burns,OR,97720,1199,541-573-7201,541-573-7272,moonn@harneyesd.k12.or.us,http://www.burnsschools.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"500 W Barnes Ave, Hines, Oregon, 97738",-119.0872104,43.56319354,Hines Middle School,Harney,Harney County SD 3,Harney,Middle,Regular School,355,500 W Barnes Ave,Hines,OR,97738,0,PO Box 38,Hines,OR,97738,38,541-573-6436,541-573-7255,mayesj@harneyesd.k12.or.us,http://www.burnsschools.k12.or.us,1,Yes,Hines Middle School ODS,OMSI,6th,6th,64,59,3,3,2,2,253.26,265,16208.64,15635,State Senate District 30,State House District 60
"329 N Humbolt St, Canyon City, Oregon, 97820",-118.948948,44.39840422,Humbolt Elementary School,Grant,John Day SD 3,Grant,Elementary,Regular School,327,329 N Humbolt St,Canyon City,OR,97820,6185,329 N Humbolt St,Canyon City,OR,97820,6185,541-575-0454,541-575-3609,smithk@grantesd.k12.or.us,http://www.grantesd.k12.or.us/Humbolt,0,Yes, , , ,6th,0,35,0,4,0,3,0,361.94,0,12667.9,State Senate District 30,State House District 60
"520 3rd St E, Huntington, Oregon, 97907",-117.263202,44.34810412,Huntington School,InterMountain,Huntington SD 16J,Baker,Combined,Supplemental Virtual,3351,520 3rd St E,Huntington,OR,97907,5054,520 3rd St E,Huntington,OR,97907,5054,541-869-2204,541-869-2444,scott.bullock@huntington.k12.or.us,http://www.huntington.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"604 Oregon Ave, Jordan Valley, Oregon, 97910",-117.0539608,42.97569748,Jordan Valley Elementary School,Mulheur,Jordan Valley SD 3,Malheur,Elementary,Supplemental Virtual,691,604 Oregon Ave,Jordan Valley,OR,97910,0,PO Box 99,Jordan Valley,OR,97910,99,541-586-2213,541-586-2568,rusty.bengoa@jordanvalley.k12.or.us,http://www.jordanvalley.k12.or.us,0,Yes, , , ,5th and 6th,0,5,0,4,0,3,0,484.75,0,2423.75,State Senate District 30,State House District 60
"5855 6th St, Juntura, Oregon, 97911",-118.0848947,43.74534458,Juntura Elementary School,Mulheur,Juntura SD 12,Malheur,Elementary,Regular School,700,5855 6th St,Juntura,OR,97911,0,PO Box 248,Juntura,OR,97911,248,541-277-3261,541-277-3261,kathleen.schram@malesd.k12.or.us,http://www.malesd.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"41964 Miles Bridge Rd, Baker City, Oregon, 97814",-117.5906815,44.87514028,Keating Elementary School,InterMountain,Baker SD 5J,Baker,Elementary,Regular School,5,41964 Miles Bridge Rd,Baker City,OR,97814,0,2090 Fourth St,Baker City,OR,97814,3391,541-523-2377,541-524-2564,mvaughan@baker.k12.or.us,http://www.baker.k12.or.us,0,Yes, , , ,6th,0,5,0,4,0,3,0,188.6,0,943,State Senate District 30,State House District 60
"375 E Main St, Long Creek, Oregon, 97856",-119.0997658,44.71365942,Long Creek School,Grant,Long Creek SD 17,Grant,Combined,Supplemental Virtual,3366,375 E Main,Long Creek,OR,97856,429,PO Box 429,Long Creek,OR,97856,429,541-421-3896,541-421-3012,delongb@grantesd.k12.or.us,http://longcreekschool.com/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"590 NW 8th St, Ontario, Oregon, 97914",-116.9716918,44.03295999,May Roberts Elementary School,Mulheur,Ontario SD 8C,Malheur,Elementary,Regular School,696,590 NW 8th St,Ontario,OR,97914,1645,590 NW 8th St,Ontario,OR,97914,1645,541-889-5379,541-889-5370,mhooker@ontario.k12.or.us,http://www.ontario.k12.or.us/index.php?id=12,0,Yes, , , ,6th,0,74,0,4,0,3,0,648.54,0,47991.96,State Senate District 30,State House District 60
"127 North St, Monument, Oregon, 97864",-119.4187931,44.82018928,Monument School,Grant,Monument SD 8,Grant,Combined,Supplemental Virtual,3350,127 North St,Monument,OR,97864,0,PO Box 127,Monument,OR,97864,127,541-934-2646,<Null>,petit@grantesd.k12.or.us,http://www.grantesd.k12.or.us/Monument/index.htm,0,Yes, , , ,5th and 6th,0,11,0,4,0,3,0,206.65,0,2273.15,State Senate District 30,State House District 60
"809 Bower Ave, Nyssa, Oregon, 97913",-117.0007639,43.87762054,Nyssa Elementary School,Mulheur,Nyssa SD 26,Malheur,Elementary,Regular School,702,809 Bower Ave,Nyssa,OR,97913,3418,809 Bower Ave,Nyssa,OR,97913,3418,541-372-3313,541-372-5653,mmurray@nyssa.k12.or.us,http://nes.nyssa.k12.or.us/,1,Yes,"Oregon Coast, Bend, Multinoma Falls", ,5th,5th,74,90,5,5,4,4,335,384.07,24790,34566.3,State Senate District 30,State House District 60
"101 S 11th St, Nyssa, Oregon, 97913",-117.0064181,43.87470119,Nyssa Middle School,Mulheur,Nyssa SD 26,Malheur,Middle,Regular School,703,101 S 11th St,Nyssa,OR,97913,3600,101 S 11th St,Nyssa,OR,97913,3600,541-372-3891,541-372-3260,lcleaver@nyssa.k12.or.us,http://nms.nyssa.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"573 SW 2nd Ave, Ontario, Oregon, 97914",-116.9699454,44.02594727,Ontario Middle School,Mulheur,Ontario SD 8C,Malheur,Middle,Regular School,698,573 SW 2nd Ave,Ontario,OR,97914,2646,573 SW 2nd Ave,Ontario,OR,97914,2646,541-889-5377,541-881-0060,lestrada@ontario.k12.or.us,<Null>,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"79654 Pine Creek Rd, Drewsey, Oregon, 97904",-118.5874172,43.84549266,Pine Creek Elementary School,Harney,Pine Creek SD 5,Harney,Elementary,Regular School,347,79654 Pine Creek Rd,Drewsey,OR,97904,5712,79654 Pine Creek Rd,Drewsey,OR,97904,5712,541-493-2600,541-493-2602,tracyk@harneyesd.k12.or.us,<Null>,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"375 N Main St, Halfway, Oregon, 97834",-117.1144744,44.8825068,Pine Eagle Charter School,InterMountain,Pine Eagle SD 61,Baker,Combined,Supplemental Virtual,15,375 North Main St,Halfway,OR,97834,0,375 North Main St,Halfway,OR,97834,0,541-742-2811,541-742-2810,cadecastro@pineeaglesd.org,http://www.pineeaglesd.org,1,Yes,Baker County, ,6th,6th,19,9,3,4,0,3,287.09,247.75,5454.71,2229.75,State Senate District 30,State House District 60
"4744 Pioneer Rd, Ontario, Oregon, 97914",-116.9388698,44.11860254,Pioneer Elementary School,Mulheur,Ontario SD 8C,Malheur,Elementary,Regular School,697,4744 Pioneer Rd,Ontario,OR,97914,8548,4744 Pioneer Rd,Ontario,OR,97914,8548,541-262-3902,541-262-3913,Framirez@ontario.k12.or.us,http://www.ontario.k12.or.us/index.php?id=11,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"Morris Ln, Plush, Oregon, 97637",-119.9027464,42.41251736,Plush Elementary School,Lake,Plush SD 18,Lake,Elementary,Regular School,497,100 Morris St,Plush,OR,97637,0,100 Morris St,Plush,OR,97637,9999,541-947-3933,<Null>,landerson@gmail.com,http://plushschooldistrict.us/home,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"740 S Overholt St, Prairie City, Oregon, 97869",-118.7086231,44.45623845,Prairie City School,Grant,Prairie City SD 4,Grant,Combined,Supplemental Virtual,3349,740 Overholt St,Prairie City,OR,97869,0,PO Box 345,Prairie City,OR,97869,345,541-820-3314,541-820-4352,gurczynskij@grantesd.k12.or.us,http://www.grantesd.k12.or.us/Prairie-City,1,No,Camp Gray, ,5th and 6th, ,24,0,4,0,3,0,372.13,0,8931.12,0,State Senate District 30,State House District 60
"737 Succor Creek Rd, Jordan Valley, Oregon, 97910",-117.1083798,43.31683315,Rockville Elementary School,Mulheur,Jordan Valley SD 3,Malheur,Elementary,Supplemental Virtual,3132,737 Succor Creek Rd,Jordan Valley,OR,97910,9616,PO Box 99,Jordan Valley,OR,97910,99,541-586-2213,<Null>,rusty.bengoa@jordanvalley.k12.or.us,http://www.jordanvalley.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"100 Park Ave, Seneca, Oregon, 97873",-118.9716534,44.13397817,Seneca Elementary School,Grant,John Day SD 3,Grant,Elementary,Regular School,330,100 Park Ave,Seneca,OR,97873,0,PO Box 69,Seneca,OR,97873,69,541-542-2542,541-542-2115,shelleyc@grantesd.k12.or.us,http://www.grantesd.k12.or.us/Seneca,0,Yes, , , ,6th,0,4,0,4,0,3,0,425.85,0,1703.4,State Senate District 30,State House District 60
"39235 OR-205, Frenchglen, Oregon, 97736",-118.9143766,42.82635374,Silvies River Charter School,Harney,Frenchglen SD 16,Harney,Combined,Charter,4702,39235 Hwy 205,Frenchglen,OR,97736,0,39235 Hwy 205,Burns,OR,97720,0,541-589-2401,541-493-4660,s.farrens@silviesrcs.org,http://www.silviesrcs.org,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"1285 3rd St, Baker City, Oregon, 97814",-117.8333587,44.77065057,South Baker Intermediate School,InterMountain,Baker SD 5J,Baker,Elementary,Regular School,7,1285 Third St,Baker City,OR,97814,4204,1285 Third St,Baker City,OR,97814,4204,541-524-2350,541-524-2382,nlehman@baker.k12.or.us,http://www.southbakerintermediateschool.com,1,Yes,Elkhorn Wildlife Management Area, ,6th,6th,165,110,4,4,0,3,36.92,188.6,6091.8,20746,State Senate District 30,State House District 60
"68178 Silver Creek Rd, Riley, Oregon, 97758",-119.5670205,43.57580252,Suntex Elementary School,Harney,Suntex SD 10,Harney,Elementary,Regular School,349,68178 Silver Creek Rd,Riley,OR,97758,9606,68178 Silver Creek Rd,Riley,OR,97758,9606,541-493-2500,541-495-2245,<Null>,<Null>,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"403 E St W, Vale, Oregon, 97918",-117.2423704,43.97895253,Vale Elementary School,Mulheur,Vale SD 84,Malheur,Elementary,Regular School,701,403  E  St W,Vale,OR,97918,1599,403  E  St W,Vale,OR,97918,1599,541-473-3291,541-473-3294,alisha.mcbride@vale.k12.or.us,http://www.ves.vale.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"403 E St W, Vale, Oregon, 97918",-117.2423704,43.97895253,Vale Middle School,Mulheur,Vale SD 84,Malheur,Middle,Regular School,1357,403  E  St W,Vale,OR,97918,1599,403  E  St W,Vale,OR,97918,1599,541-473-0241,541-473-3293,jeri.schaffeld@vale.k12.or.us,http://vms.vale.k12.or.us/,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
"3513 Arock Rd, Jordan Valley, Oregon, 97910",-117.5252637,42.91348796,W W Jones Elementary School,Mulheur,Arock SD 81,Malheur,Elementary,Regular School,711,3513 Arock Rd,Arock,OR,97902,0,PO Box 131,Arock,OR,97902,0,541-586-2325,<Null>,vickijomcconnell@msn.com,http://www.malesd.k12.or.us,0,No, , , , ,0,0,0,0,0,0,0,0,0,0,State Senate District 30,State House District 60
